x y z u_s_num u_c_num u_s_exact u_c_exact err_s err_c
0.458333 0.125 0 0 0.12059 0 0.12059 0 -1.38778e-17
0.5 0.125 0 0 5.65713e-17 0 5.65713e-17 0 -1.2326e-32
0.541667 0.125 0 0 -0.12059 0 -0.12059 0 1.38778e-17
0.583333 0.125 0 0 -0.239118 0 -0.239118 0 2.77556e-17
0.625 0.125 0 0 -0.353553 0 -0.353553 0 5.55112e-17
0.666667 0.125 0 0 -0.46194 0 -0.46194 0 5.55112e-17
0.708333 0.125 0 0 -0.562422 0 -0.562422 0 1.11022e-16
0.75 0.125 0 0 -0.653281 0 -0.653281 0 1.11022e-16
0.791667 0.125 0 0 -0.732963 0 -0.732963 0 1.11022e-16
0.833333 0.125 0 0 -0.800103 0 -0.800103 0 1.11022e-16
0.875 0.125 0 0 -0.853553 0 -0.853553 0 1.11022e-16
0.916667 0.125 0 0 -0.892399 0 -0.892399 0 1.11022e-16
0.958333 0.125 0 0 -0.915976 0 -0.915976 0 1.11022e-16
1 0.125 0 0 -0.92388 0 -0.92388 0 1.11022e-16
0 0.166667 0 0 0.866025 0 0.866025 0 -1.11022e-16
0.0416667 0.166667 0 0 0.858616 0 0.858616 0 -1.11022e-16
0.0833333 0.166667 0 0 0.836516 0 0.836516 0 -1.11022e-16
0.125 0.166667 0 0 0.800103 0 0.800103 0 -1.11022e-16
0.166667 0.166667 0 0 0.75 0 0.75 0 -1.11022e-16
0.208333 0.166667 0 0 0.687064 0 0.687064 0 -1.11022e-16
0.25 0.166667 0 0 0.612372 0 0.612372 0 -1.11022e-16
0.291667 0.166667 0 0 0.527203 0 0.527203 0 -1.11022e-16
0.333333 0.166667 0 0 0.433013 0 0.433013 0 -5.55112e-17
0.375 0.166667 0 0 0.331414 0 0.331414 0 -5.55112e-17
0.416667 0.166667 0 0 0.224144 0 0.224144 0 -2.77556e-17
0.458333 0.166667 0 0 0.113039 0 0.113039 0 -1.38778e-17
0.5 0.166667 0 0 5.30288e-17 0 5.30288e-17 0 -6.16298e-33
0.541667 0.166667 0 0 -0.113039 0 -0.113039 0 1.38778e-17
0.583333 0.166667 0 0 -0.224144 0 -0.224144 0 2.77556e-17
0.625 0.166667 0 0 -0.331414 0 -0.331414 0 5.55112e-17
0.666667 0.166667 0 0 -0.433013 0 -0.433013 0 5.55112e-17
0.708333 0.166667 0 0 -0.527203 0 -0.527203 0 1.11022e-16
0.75 0.166667 0 0 -0.612372 0 -0.612372 0 1.11022e-16
0.791667 0.166667 0 0 -0.687064 0 -0.687064 0 1.11022e-16
0.833333 0.166667 0 0 -0.75 0 -0.75 0 1.11022e-16
0.875 0.166667 0 0 -0.800103 0 -0.800103 0 1.11022e-16
0.916667 0.166667 0 0 -0.836516 0 -0.836516 0 1.11022e-16
0.958333 0.166667 0 0 -0.858616 0 -0.858616 0 1.11022e-16
1 0.166667 0 0 -0.866025 0 -0.866025 0 1.11022e-16
0 0.208333 0 0 0.793353 0 0.793353 0 -1.11022e-16
0.0416667 0.208333 0 0 0.786566 0 0.786566 0 -1.11022e-16
0.0833333 0.208333 0 0 0.76632 0 0.76632 0 -1.11022e-16
0.125 0.208333 0 0 0.732963 0 0.732963 0 -1.11022e-16
0.166667 0.208333 0 0 0.687064 0 0.687064 0 -1.11022e-16
0.208333 0.208333 0 0 0.62941 0 0.62941 0 -1.11022e-16
0.25 0.208333 0 0 0.560986 0 0.560986 0 -1.11022e-16
0.291667 0.208333 0 0 0.482963 0 0.482963 0 -5.55112e-17
0.333333 0.208333 0 0 0.396677 0 0.396677 0 -5.55112e-17
0.375 0.208333 0 0 0.303603 0 0.303603 0 -5.55112e-17
0.416667 0.208333 0 0 0.205335 0 0.205335 0 -2.77556e-17
0.458333 0.208333 0 0 0.103553 0 0.103553 0 -1.38778e-17
0.5 0.208333 0 0 4.85789e-17 0 4.85789e-17 0 -6.16298e-33
0.541667 0.208333 0 0 -0.103553 0 -0.103553 0 1.38778e-17
0.583333 0.208333 0 0 -0.205335 0 -0.205335 0 2.77556e-17
0.625 0.208333 0 0 -0.303603 0 -0.303603 0 5.55112e-17
0.666667 0.208333 0 0 -0.396677 0 -0.396677 0 5.55112e-17
0.708333 0.208333 0 0 -0.482963 0 -0.482963 0 5.55112e-17
